ProjectName,Is ML producer,where,keyword,line_number,libraries,keywords
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/AugmentationPipeline.py,,37,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/AugmentationPipeline.py,,38,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/AugmentationPipeline.py,,88,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/AugmentationPipeline.py,,146,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/AugmentationPipeline.py,,147,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/AugmentationPipeline.py,,169,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/AugmentationPipeline.py,,170,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/detector_webserver/train_keras_retinanet.py,,336,keras,.fit_generator
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/experiments/unfrozen_inception.py,,145,keras,.fit_generator
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/detection/train_keras_retinanet.py,,336,keras,.fit_generator
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/deprecated/image_retraining/retrain.py,,804,tensorflow,training=True
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/deprecated/image_retraining/retrain.py,,815,tensorflow,training=True
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/deprecated/image_retraining/retrain.py,,823,tensorflow,training=True
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/deprecated/image_retraining/retrain.py,,836,tensorflow,training=True
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/deprecated/image_retraining/retrain.py,,876,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/deprecated/image_retraining/test.py,,462,sklearn,.fit_transform(
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/src/deprecated/image_retraining/tf_eval.py,,489,sklearn,.fit_transform(
agusgun/FakeImageDetector,Yes,../repos/repos2/agusgun/FakeImageDetector/fake-image-detection.ipynb,,545,keras,.fit(
ai-med/nn-common-modules,Yes,../repos/repos2/ai-med/nn-common-modules/nn_common_modules/octave_convolution_block.py,,66,torch,forward(
ai-med/nn-common-modules,Yes,../repos/repos2/ai-med/nn-common-modules/nn_common_modules/octave_convolution_block.py,,117,torch,forward(
ai-med/nn-common-modules,Yes,../repos/repos2/ai-med/nn-common-modules/nn_common_modules/octave_convolution_block.py,,129,torch,forward(
ai-med/nn-common-modules,Yes,../repos/repos2/ai-med/nn-common-modules/nn_common_modules/bayesian_modules.py,,69,torch,forward(
ai-med/nn-common-modules,Yes,../repos/repos2/ai-med/nn-common-modules/nn_common_modules/bayesian_modules.py,,99,torch,forward(
ai-med/nn-common-modules,Yes,../repos/repos2/ai-med/nn-common-modules/nn_common_modules/bayesian_modules.py,,122,torch,forward(
