ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
olegtarasov/FastText.NetWrapper,ID1,Tool,67.0,2387.0,9.0,110.0,3.0,2560.0,0.0479930191972076,3.0
omimo/PyMO,ID1,Tool,340.0,6152.0,71.0,34.0,4.0,2634.0,0.0143702451394759,4.0
ONLPS/lda2vec,ID1,Tool,29.0,92.0,3.0,19.0,1.0,2173.0,0.0110981308411214,1.0
onnx/onnx,ID1,Tool,16905.0,33838.0,3603.0,2734.0,30.0,2695.0,1.1232539030402628,288.0
onnx/onnx-caffe2,ID1,Tool,168.0,385.0,67.0,385.0,12.0,2695.0,0.1630664972469292,12.0
onnx/onnx-r,ID1,Tool,43.0,862.0,16.0,61.0,2.0,2511.0,0.0271473075211392,2.0
onnx/onnx-tensorflow,ID1,Tool,1237.0,1987.0,300.0,747.0,30.0,2667.0,0.3104738154613466,37.0
onnx/tensorflow-onnx,ID1,Tool,2220.0,27333.0,425.0,2792.0,30.0,2508.0,1.242545616377392,92.0
openAGI/tefla,ID1,Tool,55.0,3717.0,10.0,1123.0,8.0,2992.0,0.4398746572659616,8.0
OpenANN/OpenANN,ID1,Tool,123.0,2883.0,41.0,1156.0,2.0,4695.0,0.2622504537205081,2.0
opencog/moses,ID1,Tool,126.0,139482.0,85.0,16698.0,30.0,3560.0,5.084652862362972,64.0
opencv/dldt,ID1,Tool,5974.0,494235.0,2013.0,15582.0,30.0,2292.0,7.672082717872969,403.0
opencv/opencv,ID1,Tool,75764.0,533314.0,55605.0,34257.0,30.0,4571.0,7.948259860788863,282.0
openeventdata/mordecai,ID1,Tool,730.0,2755.0,98.0,233.0,5.0,3136.0,0.0820133755719817,5.0
OpenMined/PySyft,ID1,Tool,9271.0,680483.0,1979.0,29757.0,30.0,2746.0,11.974647887323943,309.0
OpenMined/syft.js,ID1,Tool,147.0,20077.0,57.0,509.0,25.0,2582.0,0.2316795630405098,25.0
